#{"t_start": 1753683632.3801727, "env_id": "None"}
r,l,t
3.0,1,1.101511
1.0,1,1.101677
-10.0,1,1.10224
2.0,1,1.102449
5.0,1,1.102627
1.0,1,1.102788
1.0,1,1.103369
3.0,1,1.103558
4.0,1,1.103721
3.0,1,1.103881
10.0,1,1.10448
4.0,1,1.104667
5.0,1,1.104829
7.0,1,1.10499
1.0,1,1.105574
4.0,1,1.105767
5.0,1,1.105933
2.0,1,1.106093
5.0,1,1.106685
-10.0,1,1.106876
-11.0,1,1.107042
3.0,1,1.107203
6.0,1,1.107804
5.0,1,1.107995
-11.0,1,1.108159
-10.0,1,1.10832
3.0,1,1.108928
5.0,1,1.109117
5.0,1,1.109287
5.0,1,1.109478
4.0,1,1.110049
0.0,1,1.110235
-11.0,1,1.110427
4.0,1,1.110598
1.0,1,1.111162
0.0,1,1.111369
2.0,1,1.111545
10.0,1,1.111708
2.0,1,1.112269
7.0,1,1.112476
3.0,1,1.112646
-10.0,1,1.112807
6.0,1,1.113387
0.0,1,1.113575
4.0,1,1.113739
7.0,1,1.113898
7.0,1,1.114504
5.0,1,1.114706
-10.0,1,1.11487
4.0,1,1.115035
4.0,1,1.115631
6.0,1,1.115824
5.0,1,1.115988
4.0,1,1.116148
2.0,1,1.116745
4.0,1,1.116935
3.0,1,1.117099
-10.0,1,1.117261
1.0,1,1.117852
2.0,1,1.118039
2.0,1,1.118202
5.0,1,1.118386
6.0,1,1.118981
-11.0,1,1.119169
-10.0,1,1.119355
2.0,1,1.119532
0.0,1,1.120111
4.0,1,1.120298
1.0,1,1.120491
3.0,1,1.120665
5.0,1,1.12123
1.0,1,1.121439
3.0,1,1.121611
2.0,1,1.121773
2.0,1,1.122385
-11.0,1,1.122576
2.0,1,1.122742
3.0,1,1.122904
1.0,1,1.1235
-8.0,1,1.12369
3.0,1,1.123855
4.0,1,1.124015
1.0,1,1.1246
-10.0,1,1.124794
5.0,1,1.124959
10.0,1,1.12512
5.0,1,1.12571
5.0,1,1.125902
5.0,1,1.126072
6.0,1,1.126235
1.0,1,1.126834
5.0,1,1.127024
-10.0,1,1.127191
3.0,1,1.127378
5.0,1,1.127965
5.0,1,1.128152
3.0,1,1.128319
3.0,1,1.128512
3.0,1,1.129102
